id,simplified,traditional,pinyin_marked,pinyin_numbered,pos,hsk_band_2026,hsk_band_range,hsk_band_2021,hsk_band_2_0,hsk_list_id,definition_count,definitions,source_ids,frequency_rank,zipf,audio_female_available,audio_male_available,audio_status,enriched_via
dex:w:yi1:一:num,一,一,yī,yi1,Num,1,1,1,1,L1-0427,7,"[""one"",""single"",""a (article)"",""as soon as"",""entire; whole; all; throughout"",""\""one\"" radical in Chinese characters (Kangxi radical 1)"",""also pr. [yao1] for greater clarity when spelling out numbers digit by digit""]",hsk30:L1-0427;cc-cedict:一|一[yi1],101,6.27,true,false,available-unhosted,reading
dex:w:yi1xia4r5:一下儿:x,一下儿,一下兒,yīxiàr,yi1 xia4 r5,,1,1,1,,L1-0434,1,"[""erhua form of 一下[yi1 xia4]""]",hsk30:L1-0434;cc-cedict:一下兒|一下儿[yi1 xia4 r5],18405,3.73,true,false,available-unhosted,reading
dex:w:yi1xie1:一些:x,一些,一些,yīxiē,yi1 xie1,,1,1,1,,L1-0439,1,"[""some; a few; a little; (following an adjective) slightly ...er""]",hsk30:L1-0439;cc-cedict:一些|一些[yi1 xie1],293,5.76,true,false,available-unhosted,reading
dex:w:yi1hui4r5:一会儿:x,一会儿,一會兒,yīhuìr,yi1 hui4 r5,,1,1,1,3,L1-0432,5,"[""a moment"",""a while"",""in a moment"",""now...now..."",""also pr. [yi1 hui3 r5]""]",hsk30:L1-0432;cc-cedict:一會兒|一会儿[yi1 hui4 r5],4376,4.52,true,false,available-unhosted,reading
dex:w:yi1ban4:一半:num,一半,一半,yībàn,yi1 ban4,Num,1,1,1,,L1-0431,1,"[""half""]",hsk30:L1-0431;cc-cedict:一半|一半[yi1 ban4],2747,4.77,true,false,available-unhosted,reading
dex:w:yi1kuai4r5:一块儿:n,一块儿,一塊兒,yīkuàir,yi1 kuai4 r5,N;Adv,1,1,1,,L1-0433,1,"[""erhua variant of 一塊|一块[yi1 kuai4]""]",hsk30:L1-0433;cc-cedict:一塊兒|一块儿[yi1 kuai4 r5],24827,3.56,true,false,available-unhosted,reading
dex:w:yi1yang4:一样:adj,一样,一樣,yīyàng,yi1 yang4,Adj,1,1,1,3,L1-0435,5,"[""same"",""like"",""equal to"",""the same as"",""just like""]",hsk30:L1-0435;cc-cedict:一樣|一样[yi1 yang4],303,5.75,true,false,available-unhosted,reading
dex:w:yi1dian3r5:一点儿:x,一点儿,一點兒,yīdiǎnr,yi1 dian3 r5,,1,1,1,,L1-0437,1,"[""erhua variant of 一點|一点[yi1 dian3]""]",hsk30:L1-0437;cc-cedict:一點兒|一点儿[yi1 dian3 r5],12390,3.95,true,false,available-unhosted,reading
dex:w:yi1qi3:一起:adv,一起,一起,yīqǐ,yi1 qi3,Adv;N,1,1,1,2,L1-0438,4,"[""(in) the same place"",""together; in company (with)"",""altogether; in total"",""an instance of; a case of (murder, accident, dispute etc)""]",hsk30:L1-0438;cc-cedict:一起|一起[yi1 qi3],362,5.66,true,false,available-unhosted,reading
dex:w:yi1bian1:一边:n,一边,一邊,yībiān,yi1 bian1,N;Adv,1,1,1,3,L1-0436,5,"[""one side"",""either side"",""on the one hand"",""on the other hand"",""doing while""]",hsk30:L1-0436;cc-cedict:一邊|一边[yi1 bian1],2240,4.88,true,false,available-unhosted,reading
dex:w:qi1:七:num,七,七,qī,qi1,Num,1,1,1,1,L1-0286,2,"[""seven"",""7""]",hsk30:L1-0286;cc-cedict:七|七[qi1],2537,4.81,true,false,available-unhosted,reading
dex:w:san1:三:num,三,三,sān,san1,Num,1,1,1,1,L1-0311,2,"[""three"",""3""]",hsk30:L1-0311;cc-cedict:三|三[san1],192,5.98,true,false,available-unhosted,reading
dex:w:shang4:上:n,上,上,shàng,shang4,N;V,1,1,1,1,L1-0315,6,"[""(bound form) up; upper; above; previous"",""first (of multiple parts)"",""to climb; to get onto; to go up"",""to attend (class or university)"",""(directional complement) up"",""(noun suffix) on; above""]",hsk30:L1-0315;cc-cedict:上|上[shang4],51,6.55,true,false,available-unhosted,reading
dex:w:shang4wu3:上午:n,上午,上午,shàngwǔ,shang4 wu3,N,1,1,1,1,L1-0322,2,"[""morning"",""CL:個|个[ge4]""]",hsk30:L1-0322;cc-cedict:上午|上午[shang4 wu3],3217,4.68,true,false,available-unhosted,reading
dex:w:shang4xue2:上学:x,上学,上學,shàngxué,shang4 xue2,,1,1,1,,L1-0323,2,"[""to go to school"",""to attend school""]",hsk30:L1-0323;cc-cedict:上學|上学[shang4 xue2],4802,4.47,true,false,available-unhosted,reading
dex:w:shang4ci4:上次:x,上次,上次,shàng cì,shang4 ci4,,1,1,1,,L1-0319,1,"[""last time""]",hsk30:L1-0319;cc-cedict:上次|上次[shang4 ci4],5616,4.39,true,false,available-unhosted,reading
dex:w:shang4ban1:上班:x,上班,上班,shàngbān,shang4 ban1,,1,1,1,2,L1-0316,4,"[""to go to work"",""to be on duty"",""to start work"",""to go to the office""]",hsk30:L1-0316;cc-cedict:上班|上班[shang4 ban1],3687,4.61,true,false,available-unhosted,reading
dex:w:shang4wang3:上网:x,上网,上網,shàngwǎng,shang4 wang3,,1,1,1,3,L1-0321,4,"[""to go online"",""to connect to the Internet"",""(of a document etc) to be uploaded to the Internet"",""(tennis, volleyball etc) to move in close to the net""]",hsk30:L1-0321;cc-cedict:上網|上网[shang4 wang3],4548,4.5,true,false,available-unhosted,reading
dex:w:shang4ke4:上课:x,上课,上課,shàngkè,shang4 ke4,,1,1,1,,L1-0320,3,"[""to go to class"",""to attend class"",""to go to teach a class""]",hsk30:L1-0320;cc-cedict:上課|上课[shang4 ke4],6867,4.28,true,false,available-unhosted,reading
dex:w:shang4che1:上车:x,上车,上車,shàng chē,shang4 che1,,1,1,1,,L1-0318,1,"[""to get on or into (a bus, train, car etc)""]",hsk30:L1-0318;cc-cedict:上車|上车[shang4 che1],8071,4.19,true,false,available-unhosted,reading
dex:w:shang4bian5:上边:n,上边,上邊,shàngbian,shang4 bian5,N,1,1,1,,L1-0317,7,"[""the top"",""above"",""overhead"",""upwards"",""the top margin"",""above-mentioned"",""those higher up""]",hsk30:L1-0317;cc-cedict:上邊|上边[shang4 bian5],29318,3.46,true,false,available-unhosted,reading
dex:w:xia4:下:n,下,下,xià,xia4,N;V,1,1,1,1,L1-0389,11,"[""down"",""downwards"",""below"",""lower"",""later"",""next (week etc)"",""second (of two parts)"",""to decline"",""to go down"",""to arrive at (a decision, conclusion etc)"",""measure word to show the frequency of an action""]",hsk30:L1-0389;cc-cedict:下|下[xia4],138,6.1,true,false,available-unhosted,reading
dex:w:xia4wu3:下午:n,下午,下午,xiàwǔ,xia4 wu3,N,1,1,1,1,L1-0395,3,"[""afternoon"",""CL:個|个[ge4]"",""p.m.""]",hsk30:L1-0395;cc-cedict:下午|下午[xia4 wu3],1675,5.01,true,false,available-unhosted,reading
dex:w:xia4ci4:下次:x,下次,下次,xià cì,xia4 ci4,,1,1,1,,L1-0393,1,"[""next time""]",hsk30:L1-0393;cc-cedict:下次|下次[xia4 ci4],4218,4.54,true,false,available-unhosted,reading
dex:w:xia4ban1:下班:x,下班,下班,xiàbān,xia4 ban1,,1,1,1,,L1-0390,2,"[""to finish work; to get off work"",""next service (train, bus etc)""]",hsk30:L1-0390;cc-cedict:下班|下班[xia4 ban1],8654,4.15,true,false,available-unhosted,reading
dex:w:xia4ke4:下课:x,下课,下課,xiàkè,xia4 ke4,,1,1,1,,L1-0394,4,"[""to finish class"",""to get out of class"",""(fig.) (esp. of a sports coach) to be dismissed"",""to be fired""]",hsk30:L1-0394;cc-cedict:下課|下课[xia4 ke4],29319,3.46,true,false,available-unhosted,reading
dex:w:xia4che1:下车:x,下车,下車,xià chē,xia4 che1,,1,1,1,,L1-0392,1,"[""to get off or out of (a bus, train, car etc)""]",hsk30:L1-0392;cc-cedict:下車|下车[xia4 che1],9621,4.09,true,false,available-unhosted,reading
dex:w:xia4bian5:下边:n,下边,下邊,xiàbian,xia4 bian5,N,1,1,1,,L1-0391,3,"[""under"",""the underside"",""below""]",hsk30:L1-0391;cc-cedict:下邊|下边[xia4 bian5],33201,3.38,true,false,available-unhosted,reading
dex:w:xia4yu3:下雨:x,下雨,下雨,xià yǔ,xia4 yu3,,1,1,1,1,L1-0396,1,"[""to rain""]",hsk30:L1-0396;cc-cedict:下雨|下雨[xia4 yu3],9313,4.11,true,false,available-unhosted,reading
dex:w:bu4:不:adv,不,不,bù,bu4,Adv,1,1,1,1,L1-0034,2,"[""no; not so"",""(bound form) not; un-""]",hsk30:L1-0034;cc-cedict:不|不[bu4],22,6.76,true,false,available-unhosted,reading
dex:w:bu4da4:不大:x,不大,不大,bù dà,bu4 da4,,1,1,1,,L1-0030,3,"[""not very"",""not too"",""not often""]",hsk30:L1-0030;cc-cedict:不大|不大[bu4 da4],1330,5.12,true,false,available-unhosted,reading
dex:w:bu4ke4qi5:不客气:x,不客气,不客氣,bù kèqì,bu4 ke4 qi5,,1,1,1,1,L1-0032,5,"[""you're welcome"",""don't mention it"",""impolite"",""rude"",""blunt""]",hsk30:L1-0032;cc-cedict:不客氣|不客气[bu4 ke4 qi5],36424,3.32,true,false,available-unhosted,reading
dex:w:bu4dui4:不对:adj,不对,不對,bùduì,bu4 dui4,Adj,1,1,1,,L1-0031,5,"[""incorrect"",""wrong"",""amiss"",""abnormal"",""queer""]",hsk30:L1-0031;cc-cedict:不對|不对[bu4 dui4],733,5.39,true,false,available-unhosted,reading
dex:w:bu4yong4:不用:adv,不用,不用,bùyòng,bu4 yong4,Adv,1,1,1,,L1-0033,1,"[""need not""]",hsk30:L1-0033;cc-cedict:不用|不用[bu4 yong4],1479,5.07,true,false,available-unhosted,reading
dex:w:dong1:东:n,东,東,dōng,dong1,N,1,1,1,3,L1-0084,3,"[""east"",""host (i.e. sitting on east side of guest)"",""landlord""]",hsk30:L1-0084;cc-cedict:東|东[dong1],1187,5.17,true,false,available-unhosted,reading
dex:w:dong1xi5:东西:n,东西,東西,dōngxi,dong1 xi5,N,1,1,,,L1-0086,4,"[""thing"",""stuff"",""person"",""CL:個|个[ge4],件[jian4]""]",hsk30:L1-0086;cc-cedict:東西|东西[dong1 xi5],412,5.63,true,false,available-unhosted,reading
dex:w:dong1bian5:东边:n,东边,東邊,dōngbian,dong1 bian5,N,1,1,1,,L1-0085,4,"[""east"",""east side"",""eastern part"",""to the east of""]",hsk30:L1-0085;cc-cedict:東邊|东边[dong1 bian5],17584,3.76,true,false,available-unhosted,reading
dex:w:liang3:两:num,两,兩,liǎng,liang3,Num,1,1,1,2,L1-0215,5,"[""two"",""both"",""some"",""a few"",""tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)""]",hsk30:L1-0215;cc-cedict:兩|两[liang3],354,5.67,true,false,available-unhosted,reading
dex:w:ge4:个:m,个,個,gè,ge4,M,1,1,1,1,L1-0120,2,"[""(classifier used before a noun that has no specific classifier)"",""(bound form) individual""]",hsk30:L1-0120;cc-cedict:個|个[ge4],75,6.35,true,false,available-unhosted,reading
dex:w:zhong1:中:n,中,中,zhōng,zhong1,N,1,1,1,,L1-0476,4,"[""within; among; in"",""middle; center"",""while (doing sth); during"",""(dialect) OK; all right""]",hsk30:L1-0476;cc-cedict:中|中[zhong1],35,6.65,true,false,available-unhosted,reading
dex:w:zhong1wu3:中午:n,中午,中午,zhōngwǔ,zhong1 wu3,N,1,1,1,1,L1-0480,3,"[""noon"",""midday"",""CL:個|个[ge4]""]",hsk30:L1-0480;cc-cedict:中午|中午[zhong1 wu3],5281,4.42,true,false,available-unhosted,reading
dex:w:zhong1guo2:中国:n,中国,中國,Zhōngguó,Zhong1 guo2,N,1,1,1,1,L1-0477,1,"[""China""]",hsk30:L1-0477;cc-cedict:中國|中国[Zhong1 guo2],65,6.44,true,false,available-unhosted,reading
dex:w:zhong1xue2:中学:n,中学,中學,zhōngxué,zhong1 xue2,N,1,1,1,,L1-0481,1,"[""middle school""]",hsk30:L1-0481;cc-cedict:中學|中学[zhong1 xue2],1716,5,true,false,available-unhosted,reading
dex:w:zhong1xue2sheng1:中学生:n,中学生,中學生,zhōngxuéshēng,zhong1 xue2 sheng1,N,1,1,1,,L1-0482,2,"[""middle-school student"",""high school student""]",hsk30:L1-0482;cc-cedict:中學生|中学生[zhong1 xue2 sheng1],8991,4.13,true,false,available-unhosted,reading
dex:w:zhong1wen2:中文:n,中文,中文,Zhōngwén,Zhong1 wen2,N,1,1,1,4,L1-0479,1,"[""Chinese language""]",hsk30:L1-0479;cc-cedict:中文|中文[Zhong1 wen2],1902,4.96,true,false,available-unhosted,reading
dex:w:zhong1jian1:中间:n,中间,中間,zhōngjiān,zhong1 jian1,N,1,1,1,3,L1-0478,3,"[""the middle; the inside"",""in the middle; within; between; among"",""during; in the meantime""]",hsk30:L1-0478;cc-cedict:中間|中间[zhong1 jian1],2452,4.83,true,false,available-unhosted,reading
dex:w:jiu3:九:num,九,九,jiǔ,jiu3,Num,1,1,1,1,L1-0185,2,"[""nine"",""9""]",hsk30:L1-0185;cc-cedict:九|九[jiu3],2751,4.77,true,false,available-unhosted,reading
dex:w:ye3:也:adv,也,也,yě,ye3,Adv,1,1,1,2,L1-0425,3,"[""also; too; as well; (not ...) either"",""(used after a verbal or nominal expression X to indicate that X is an extreme or unexpected case) even (X)"",""(literary) particle having functions similar to 啊[a5]""]",hsk30:L1-0425;cc-cedict:也|也[ye3],24,6.7,true,false,available-unhosted,reading
dex:w:shu1:书:n,书,書,shū,shu1,N,1,1,1,1,L1-0341,5,"[""book"",""letter"",""document"",""CL:本[ben3],冊|册[ce4],部[bu4]"",""to write""]",hsk30:L1-0341;cc-cedict:書|书[shu1],765,5.38,true,false,available-unhosted,reading
dex:w:shu1bao1:书包:n,书包,書包,shūbāo,shu1 bao1,N,1,1,1,,L1-0342,4,"[""schoolbag"",""satchel"",""bookbag"",""CL:個|个[ge4],隻|只[zhi1]""]",hsk30:L1-0342;cc-cedict:書包|书包[shu1 bao1],22601,3.62,true,false,available-unhosted,reading
dex:w:shu1dian4:书店:n,书店,書店,shūdiàn,shu1 dian4,N,1,1,1,,L1-0343,2,"[""bookstore"",""CL:家[jia1]""]",hsk30:L1-0343;cc-cedict:書店|书店[shu1 dian4],8126,4.19,true,false,available-unhosted,reading
dex:w:mai3:买:v,买,買,mǎi,mai3,V,1,1,1,1,L1-0228,2,"[""to buy"",""to purchase""]",hsk30:L1-0228;cc-cedict:買|买[mai3],464,5.58,true,false,available-unhosted,reading
dex:w:le5:了:aux,了,了,le,le5,Aux,1,1,1,1,L1-0210,3,"[""(completed action marker)"",""(modal particle indicating change of state, situation now)"",""(modal particle intensifying preceding clause)""]",hsk30:L1-0210;cc-cedict:了|了[le5],8,7.14,true,false,available-unhosted,reading
dex:w:shi4:事:n,事,事,shì,shi4,N,1,1,1,,L1-0335,6,"[""matter"",""thing"",""item"",""work"",""affair"",""CL:件[jian4],樁|桩[zhuang1],回[hui2]""]",hsk30:L1-0335;cc-cedict:事|事[shi4],275,5.79,true,false,available-unhosted,reading
dex:w:er4:二:num,二,二,èr,er4,Num,1,1,1,1,L1-0098,3,"[""two"",""2"",""(Beijing dialect) stupid""]",hsk30:L1-0098;cc-cedict:二|二[er4],735,5.39,true,false,available-unhosted,reading
dex:w:wu3:五:num,五,五,wǔ,wu3,Num,1,1,1,1,L1-0382,2,"[""five"",""5""]",hsk30:L1-0382;cc-cedict:五|五[wu3],1299,5.13,true,false,available-unhosted,reading
dex:w:ren2:人:n,人,人,rén,ren2,N,1,1,1,1,L1-0305,2,"[""person; people"",""CL:個|个[ge4],位[wei4]""]",hsk30:L1-0305;cc-cedict:人|人[ren2],23,6.74,true,false,available-unhosted,reading
dex:w:shen2me5:什么:pron,什么,什麼,shénme,shen2 me5,Pron,1,1,1,1,L1-0328,2,"[""what?"",""something; anything""]",hsk30:L1-0328;cc-cedict:什麼|什么[shen2 me5],88,6.3,true,false,available-unhosted,reading
dex:w:jin1tian1:今天:n,今天,今天,jīntiān,jin1 tian1,N,1,1,1,1,L1-0181,2,"[""today"",""the present time; now""]",hsk30:L1-0181;cc-cedict:今天|今天[jin1 tian1],375,5.65,true,false,available-unhosted,reading
dex:w:jin1nian2:今年:n,今年,今年,jīnnián,jin1 nian2,N,1,1,1,,L1-0180,1,"[""this year""]",hsk30:L1-0180;cc-cedict:今年|今年[jin1 nian2],927,5.27,true,false,available-unhosted,reading
dex:w:jie4shao4:介绍:v,介绍,介紹,jièshào,jie4 shao4,V,1,1,1,2,L1-0179,4,"[""to introduce (sb to sb)"",""to give a presentation"",""to present (sb for a job etc)"",""introduction""]",hsk30:L1-0179;cc-cedict:介紹|介绍[jie4 shao4],928,5.27,true,false,available-unhosted,reading
dex:w:cong2:从:prep,从,從,cóng,cong2,Prep,1,1,1,2,L1-0054,8,"[""from; through; via"",""(bound form) to follow"",""(bound form) to obey"",""(bound form) to engage in (an activity)"",""(used before a negative) ever"",""(bound form) (Taiwan pr. [zong4]) retainer; attendant"",""(bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate"",""(bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor""]",hsk30:L1-0054;cc-cedict:從|从[cong2],104,6.25,true,false,available-unhosted,reading
dex:w:ta1:他:pron,他,他,tā,ta1,Pron,1,1,1,1,L1-0354,2,"[""(third-person singular) (since the early 20th century, usu. male) he; him; his"",""(bound form) other; another; some other (as in 他日[ta1 ri4] and 他人[ta1 ren2])""]",hsk30:L1-0354;cc-cedict:他|他[ta1],32,6.68,true,false,available-unhosted,reading
dex:w:ta1men5:他们:pron,他们,他們,tāmen,ta1 men5,Pron,1,1,1,,L1-0355,1,"[""they; them""]",hsk30:L1-0355;cc-cedict:他們|他们[ta1 men5],68,6.4,true,false,available-unhosted,reading
dex:w:men5:们（朋友们）:suffix,们（朋友们）,們（朋友們）,men (péngyoumen),men5,Suffix,1,1,,,L1-0241,1,"[""plural marker for pronouns, and nouns referring to individuals""]",hsk30:L1-0241;cc-cedict:們|们[men5],,,true,false,available-unhosted,form
dex:w:xiu1xi5:休息:v,休息,休息,xiūxi,xiu1 xi5,V,1,1,1,2,L1-0417,2,"[""rest"",""to rest""]",hsk30:L1-0417;cc-cedict:休息|休息[xiu1 xi5],2924,4.73,true,false,available-unhosted,reading
dex:w:hui4:会:v,会,會,huì,hui4,V,1,1,1,1,L1-0160,6,"[""can; to have the skill; to know how to"",""to be likely to; to be sure to"",""to meet; to get together"",""meeting; gathering"",""(suffix) union; group; association"",""(bound form) a moment (Taiwan pr. [hui3])""]",hsk30:L1-0160;cc-cedict:會|会[hui4],60,6.48,true,false,available-unhosted,reading
dex:w:zhu4:住:v,住,住,zhù,zhu4,V,1,1,1,1,L1-0485,6,"[""to live"",""to dwell"",""to stay"",""to reside"",""to stop"",""(suffix indicating firmness, steadiness, or coming to a halt)""]",hsk30:L1-0485;cc-cedict:住|住[zhu4],737,5.39,true,false,available-unhosted,reading
dex:w:ni3:你:pron,你,你,nǐ,ni3,Pron,1,1,1,1,L1-0271,1,"[""you (informal, as opposed to courteous 您[nin2])""]",hsk30:L1-0271;cc-cedict:你|你[ni3],26,6.7,true,false,available-unhosted,reading
dex:w:ni3men5:你们:pron,你们,你們,nǐmen,ni3 men5,Pron,1,1,1,,L1-0272,1,"[""you (plural)""]",hsk30:L1-0272;cc-cedict:你們|你们[ni3 men5],273,5.8,true,false,available-unhosted,reading
dex:w:zuo4:做:v,做,做,zuò,zuo4,V,1,1,1,1,L1-0500,6,"[""to make; to produce"",""to write; to compose"",""to do; to engage in; to hold (a party etc)"",""(of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc)"",""(of a thing) to serve as; to be used for"",""to assume (an air or manner)""]",hsk30:L1-0500;cc-cedict:做|做[zuo4],152,6.08,true,false,available-unhosted,reading
dex:w:er2zi5:儿子:n,儿子,兒子,érzi,er2 zi5,N,1,1,1,1,L1-0097,1,"[""son""]",hsk30:L1-0097;cc-cedict:兒子|儿子[er2 zi5],909,5.28,true,false,available-unhosted,reading
dex:w:yuan2:元:m,元,元,yuán,yuan2,M,1,1,1,2,L1-0450,8,"[""currency unit (esp. Chinese yuan)"",""(bound form) first; original; primary"",""(bound form) basic; fundamental"",""(bound form) constituent; part"",""(prefix) meta-"",""(math.) argument; variable"",""era (of a reign)"",""(Tw) (geology) eon""]",hsk30:L1-0450;cc-cedict:元|元[yuan2],430,5.61,true,false,available-unhosted,reading
dex:w:xian1:先:adv,先,先,xiān,xian1,Adv,1,1,1,3,L1-0397,4,"[""beforehand; first; earlier"",""at first; originally"",""for the time being; for now"",""(prefix) my late (in referring to deceased relatives older than oneself)""]",hsk30:L1-0397;cc-cedict:先|先[xian1],714,5.4,true,false,available-unhosted,reading
dex:w:xian1sheng5:先生:n,先生,先生,xiānsheng,xian1 sheng5,N,1,1,1,1,L1-0398,5,"[""teacher"",""gentleman; sir; mister (Mr.)"",""husband"",""(dialect) doctor"",""CL:位[wei4]""]",hsk30:L1-0398;cc-cedict:先生|先生[xian1 sheng5],892,5.29,true,false,available-unhosted,reading
dex:w:ba1:八:num,八,八,bā,ba1,Num,1,1,1,1,L1-0003,1,"[""eight""]",hsk30:L1-0003;cc-cedict:八|八[ba1],2930,4.73,true,false,available-unhosted,reading
dex:w:liu4:六:num,六,六,liù,liu4,Num,1,1,1,1,L1-0217,2,"[""six"",""6""]",hsk30:L1-0217;cc-cedict:六|六[liu4],1868,4.97,true,false,available-unhosted,reading
dex:w:guan1:关:v,关,關,guān,guan1,V,1,1,1,3,L1-0125,4,"[""mountain pass"",""to close; to shut; to turn off"",""to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)"",""to concern; to involve""]",hsk30:L1-0125;cc-cedict:關|关[guan1],1293,5.14,true,false,available-unhosted,reading
dex:w:guan1shang4:关上:x,关上,關上,guānshang,guan1 shang4,,1,1,1,,L1-0126,2,"[""to close (a door)"",""to turn off (light, electrical equipment etc)""]",hsk30:L1-0126;cc-cedict:關上|关上[guan1 shang4],15136,3.85,true,false,available-unhosted,reading
dex:w:zai4:再:adv,再,再,zài,zai4,Adv,1,1,1,2,L1-0453,7,"[""again; once more; re-"",""further; beyond this point of time"",""(before an adjective) more"",""then (after sth, and not until then)"",""no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)"",""(used to introduce additional information, as in 再則|再则[zai4 ze2], 再就是[zai4 jiu4 shi4] etc)"",""(literary) to reappear; to reoccur""]",hsk30:L1-0453;cc-cedict:再|再[zai4],231,5.89,true,false,available-unhosted,reading
dex:w:zai4jian4:再见:v,再见,再見,zàijiàn,zai4 jian4,V,1,1,1,1,L1-0454,2,"[""goodbye"",""see you again later""]",hsk30:L1-0454;cc-cedict:再見|再见[zai4 jian4],4808,4.47,true,false,available-unhosted,reading
dex:w:xie3:写:v,写,寫,xiě,xie3,V,1,1,1,1,L1-0409,1,"[""to write""]",hsk30:L1-0409;cc-cedict:寫|写[xie3],436,5.61,true,false,available-unhosted,reading
dex:w:leng3:冷:adj,冷,冷,lěng,leng3,Adj,1,1,1,1,L1-0212,1,"[""cold""]",hsk30:L1-0212;cc-cedict:冷|冷[leng3],3539,4.63,true,false,available-unhosted,reading
dex:w:zhun3bei4:准备:v,准备,準備,zhǔnbèi,zhun3 bei4,V,1,1,1,2,L1-0486,5,"[""preparation"",""to prepare"",""to intend"",""to be about to"",""reserve (fund)""]",hsk30:L1-0486;cc-cedict:準備|准备[zhun3 bei4],559,5.49,true,false,available-unhosted,reading
dex:w:ji3:几:num,几,幾,jǐ,ji3,Num;Pron,1,1,1,1,L1-0165,4,"[""how much"",""how many"",""several"",""a few""]",hsk30:L1-0165;cc-cedict:幾|几[ji3],1431,5.09,true,false,available-unhosted,reading
dex:w:chu1:出:v,出,出,chū,chu1,V,1,1,1,2,L1-0048,6,"[""to go out; to come out"",""to arise; to occur"",""to produce; to yield"",""to go beyond; to exceed"",""(used after a verb to indicate an outward direction or a positive result)"",""classifier for dramas, plays, operas etc""]",hsk30:L1-0048;cc-cedict:出|出[chu1],223,5.92,true,false,available-unhosted,reading
dex:w:chu1qu4:出去:x,出去,出去,chūqù,chu1 qu4,,1,1,1,,L1-0050,1,"[""to go out""]",hsk30:L1-0050;cc-cedict:出去|出去[chu1 qu4],2042,4.93,true,false,available-unhosted,reading
dex:w:chu1lai2:出来:x,出来,出來,chūlái,chu1 lai2,,1,1,1,,L1-0049,3,"[""to come out"",""to appear"",""to arise""]",hsk30:L1-0049;cc-cedict:出來|出来[chu1 lai2],347,5.68,true,false,available-unhosted,reading
dex:w:fen1:分:n,分,分,fēn,fen1,N;M,1,1,1,3,L1-0109,11,"[""to divide; to separate"",""to distribute; to allocate"",""to distinguish (good and bad)"",""(bound form) branch of (an organization); sub- (as in 分局[fen1 ju2])"",""fraction"",""one tenth (of certain units)"",""unit of length equivalent to 0.33 cm"",""minute (unit of time)"",""minute (angular measurement unit)"",""a point (in sports or games)"",""0.01 yuan (unit of money)""]",hsk30:L1-0109;cc-cedict:分|分[fen1],446,5.59,true,false,available-unhosted,reading
dex:w:bie2:别:adv,别,別,bié,bie2,Adv,1,1,1,2,L1-0025,8,"[""to leave; to part (from)"",""(literary) to differentiate; to distinguish"",""(dialect) to turn away; to turn aside; to avert (one's face, gaze etc)"",""(bound form) other; another; different"",""don't ...!"",""to fasten with a pin or clip"",""to stick in; to insert (in order to hinder movement)"",""(noun suffix) category (as in 性別|性别[xing4 bie2], 派別|派别[pai4 bie2])""]",hsk30:L1-0025;cc-cedict:別|别[bie2],755,5.38,true,false,available-unhosted,reading
dex:w:bie2ren5:别人:pron,别人,別人,biérén,bie2 ren5,Pron,1,1,1,3,L1-0027,1,"[""other people; others; other person""]",hsk30:L1-0027;cc-cedict:別人|别人[bie2 ren5],873,5.3,true,false,available-unhosted,reading
dex:w:bie2de5:别的:pron,别的,別的,biéde,bie2 de5,Pron,1,1,1,,L1-0026,2,"[""else"",""other""]",hsk30:L1-0026;cc-cedict:別的|别的[bie2 de5],2456,4.83,true,false,available-unhosted,reading
dex:w:dao4:到:v,到,到,dào,dao4,V,1,1,1,2,L1-0064,5,"[""to reach; to arrive"",""to leave for; to go to"",""to (a place); until (a time); up to (a point)"",""(verb complement indicating arriving at a place or reaching a point)"",""considerate; thoughtful; thorough""]",hsk30:L1-0064;cc-cedict:到|到[dao4],59,6.48,true,false,available-unhosted,reading
dex:w:qian2:前:n,前,前,qián,qian2,N,1,1,1,,L1-0291,11,"[""front"",""forward"",""ahead"",""first"",""top (followed by a number)"",""future"",""ago"",""before"",""BC (e.g. 前293年)"",""former"",""formerly""]",hsk30:L1-0291;cc-cedict:前|前[qian2],218,5.93,true,false,available-unhosted,reading
dex:w:qian2tian1:前天:n,前天,前天,qiántiān,qian2 tian1,N,1,1,1,,L1-0293,1,"[""the day before yesterday""]",hsk30:L1-0293;cc-cedict:前天|前天[qian2 tian1],26179,3.53,true,false,available-unhosted,reading
dex:w:qian2bian5:前边:n,前边,前邊,qiánbian,qian2 bian5,N,1,1,1,,L1-0292,3,"[""front"",""the front side"",""in front of""]",hsk30:L1-0292;cc-cedict:前邊|前边[qian2 bian5],45473,3.16,true,false,available-unhosted,reading
dex:w:dong4:动:v,动,動,dòng,dong4,V,1,1,1,,L1-0087,8,"[""(of sth) to move"",""to set in movement"",""to displace"",""to touch"",""to make use of"",""to stir (emotions)"",""to alter"",""abbr. for 動詞|动词[dong4 ci2], verb""]",hsk30:L1-0087;cc-cedict:動|动[dong4],1175,5.17,true,false,available-unhosted,reading
