id,simplified,traditional,pinyin_marked,pinyin_numbered,pos,hsk_band_2026,hsk_band_range,hsk_band_2021,hsk_band_2_0,hsk_list_id,definition_count,definitions,source_ids,frequency_rank,zipf,audio_female_available,audio_male_available,audio_status,enriched_via
dex:w:gei3:给:v,给,給,gěi,gei3,V;Prep,1,1,,,L1-0121,9,"[""to"",""for"",""for the benefit of"",""to give"",""to allow"",""to do sth (for sb)"",""(grammatical equivalent of 被)"",""(grammatical equivalent of 把)"",""(sentence intensifier)""]",hsk30:L1-0121;cc-cedict:給|给[gei3],127,6.18,true,false,available-unhosted,reading
dex:w:wang3shang4:网上:x,网上,網上,wǎng shang,wang3 shang4,,1,1,1,,L1-0375,1,"[""online""]",hsk30:L1-0375;cc-cedict:網上|网上[wang3 shang4],2157,4.91,true,false,available-unhosted,reading
dex:w:wang3you3:网友:n,网友,網友,wǎngyǒu,wang3 you3,N,1,1,1,,L1-0376,2,"[""online friend"",""netizen; Internet user""]",hsk30:L1-0376;cc-cedict:網友|网友[wang3 you3],1976,4.95,true,false,available-unhosted,reading
dex:w:lao3:老:adj,老,老,lǎo,lao3,Adj,1,1,1,3,L1-0207,11,"[""prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity"",""old (of people)"",""venerable (person)"",""experienced"",""of long standing"",""always"",""all the time"",""of the past"",""very"",""outdated"",""(of meat etc) tough""]",hsk30:L1-0207;cc-cedict:老|老[lao3],616,5.46,true,false,available-unhosted,reading
dex:w:lao3ren2:老人:n,老人,老人,lǎorén,lao3 ren2,N,1,1,1,,L1-0208,3,"[""old man or woman"",""the elderly"",""one's aged parents or grandparents""]",hsk30:L1-0208;cc-cedict:老人|老人[lao3 ren2],3084,4.71,true,false,available-unhosted,reading
dex:w:lao3shi1:老师:n,老师,老師,lǎoshī,lao3 shi1,N,1,1,1,1,L1-0209,2,"[""teacher"",""CL:個|个[ge4],位[wei4]""]",hsk30:L1-0209;cc-cedict:老師|老师[lao3 shi1],904,5.29,true,false,available-unhosted,reading
dex:w:kao3:考:v,考,考,kǎo,kao3,V,1,1,1,,L1-0196,7,"[""to check"",""to verify"",""to test"",""to examine"",""to take an exam"",""to take an entrance exam for"",""deceased father""]",hsk30:L1-0196;cc-cedict:考|考[kao3],3731,4.61,true,false,available-unhosted,reading
dex:w:kao3shi4:考试:x,考试,考試,kǎoshì,kao3 shi4,,1,1,1,2,L1-0197,3,"[""to take an exam"",""exam"",""CL:次[ci4]""]",hsk30:L1-0197;cc-cedict:考試|考试[kao3 shi4],2158,4.91,true,false,available-unhosted,reading
dex:w:rou4:肉:n,肉,肉,ròu,rou4,N,1,1,1,,L1-0310,7,"[""meat"",""flesh"",""pulp (of a fruit)"",""(coll.) (of a fruit) squashy"",""(of a person) flabby"",""irresolute"",""Kangxi radical 130""]",hsk30:L1-0310;cc-cedict:肉|肉[rou4],2572,4.81,true,false,available-unhosted,reading
dex:w:neng2:能:v,能,能,néng,neng2,V,1,1,1,1,L1-0270,5,"[""can"",""to be able to"",""might possibly"",""ability"",""(physics) energy""]",hsk30:L1-0270;cc-cedict:能|能[neng2],99,6.29,true,false,available-unhosted,reading
